patentNumber,title,USPC #,company,companyState,patentIssueDate,applicationFilingDate
10171733,"['IMAGE PROCESSING APPARATUS AND METHOD, AND PROGRAM AND RECORDING MEDIUM']",348,MITSUBISHI ELECTRIC CORPORATION,,2019-01-01,2016-04-08
10170905,['Electronic Switching and Protection Circuit with Wakeup Function'],361,Infineon Technologies AG,,2019-01-01,2016-04-08
D837225,['FULL MOTION DISPLAY MOUNT'],D14,Milestone AV Technologies LLC,MN,2019-01-01,2016-04-08
10171727,['Resetting Single-Control Apparatus'],348,N/A,N/A,2019-01-01,2016-04-10
10166560,['CONTINUOUS LAUNCHER'],124,AGENCY FOR DEFENSE DEVELOPMENT,,2019-01-01,2016-04-11
10168302,['Signal Processing System and Methods'],702,THE UNIVERSITY OF MANCHESTER,,2019-01-01,2016-04-11
10169175,['Providing Failover Control on a Control System'],714,GE Aviation Systems LLC,MI,2019-01-01,2016-04-11
10170565,"['IMAGING DEVICE, METHOD FOR DRIVING IMAGING DEVICE, AND ELECTRONIC DEVICE']",348,"Semiconductor Energy Laboratory Co., Ltd.",,2019-01-01,2016-04-11
10168975,['SMARTPAD - DESKTOP'],345,Z124,,2019-01-01,2016-04-11
10170239,['MAGNETIC COIL MANUFACTURING'],029,LF  PRETTL,,2019-01-01,2016-04-11
10169470,['SYSTEMS AND METHODS FOR IDENTIFYING A MEANING OF AN AMBIGUOUS TERM IN A NATURAL LANGUAGE QUERY'],707,"Rovi Guides, Inc.",CA,2019-01-01,2016-04-11
10165882,['DRINKING STRAW AND CLOSURE ASSEMBLY'],220,N/A,N/A,2019-01-01,2016-04-11
10168952,['MEMORY SYSTEM AND OPERATING METHOD THEREOF USING SEGMENT LISTS'],711,SK hynix Inc.,,2019-01-01,2016-04-11
10167412,"[""PHENOL POLYMER WITH 5,5'-BIARYL BONDS, METHOD FOR PREPARING SAME, AND USES THEREOF""]",524,INSTITUT NATIONAL DE LA RECHERCHE AGRONOMIQUE,,2019-01-01,2016-04-12
10171518,['PERFORMING AN ACTION ON CERTAIN MEDIA STREAMS IN A MULTIMEDIA COMMUNICATIONS NETWORK'],709,Telefonaktiebolaget LM Ericsson (publ),,2019-01-01,2016-04-12
10170354,['SUBTRACTIVE METHODS FOR CREATING DIELECTRIC ISOLATION STRUCTURES WITHIN OPEN FEATURES'],438,Tokyo Electron Limited,,2019-01-01,2016-04-12
10167478,['Replicative Minicircle Vectors with Improved Expression'],435,Nature Technology Corporation,NE,2019-01-01,2016-04-12
10166155,['ABSORBENT ARTICLE HAVING MULTIPLE GRAPHIC ZONES'],604,The Procter & Gamble Company,OH,2019-01-01,2016-04-12
10168360,['MEASUREMENT DEVICE FOR LIGHTING INSTALLATIONS AND RELATED METHODS'],324,"FLIR Systems, Inc.",OR,2019-01-01,2016-04-12
10166314,['REGENERATIVE PROSTHESES AS ALTERNATIVES TO DONOR CORNEAS FOR TRANSPLANTATION'],424,UAB FERENTIS,,2019-01-01,2016-04-13
10166950,"['ELECTRONIC KEY SYSTEM, ONBOARD APPARATUS, AND PORTABLE APPARATUS']",380,DENSO CORPORATION,,2019-01-01,2016-04-13
10171833,"['ADAPTIVE SWITCHING OF COLOR SPACES, COLOR SAMPLING RATES AND/OR BIT DEPTHS']",375,"MICROSOFT TECHNOLOGY LICENSING, LLC",WA,2019-01-01,2016-04-13
10169545,['COMPUTER-IMPLEMENTED TOOLS FOR USE IN ELECTROPHYSIOLOGY'],703,N/A,N/A,2019-01-01,2016-04-13
10171531,['CONTINUING ELECTRONIC MEDIA ENTERTAINMENT AFTER COMPLETION OF TRAVEL SEGMENT'],709,"ViaSat, Inc.",CA,2019-01-01,2016-04-13
10169704,['ARTIFICIALLY INTELLIGENT COMMUNICATION GENERATION IN COMPLEX COMPUTING NETWORKS'],370,"RESEARCH NOW GROUP, INC.",TX,2019-01-01,2016-04-13
10166028,['Hemostatic Clipping Devices and Methods'],606,"BOSTON SCIENTIFIC SCIMED, INC.",MN,2019-01-01,2016-04-13
10169855,['METHOD AND DEVICE FOR DETECTING DEFECTS ON A DISPLAY SUBTRATE'],348,"BOE TECHNOLOGY GROUP CO., LTD.",,2019-01-01,2016-04-13
10168296,['Field-Effect Transistor and Method and Control Unit for Operating a Field-Effect Transistor'],324,Robert Bosch GmbH,,2019-01-01,2016-04-13
10166714,['ROLLER AND METHOD FOR COMPRESSING PROTECTIVE SHEETING OF POLYMER MATERIAL AROUND A PIPELINE'],156,SAIPEM S.P.A.,,2019-01-01,2016-04-14
10169839,['METHOD AND APPARATUS FOR EXECUTING GRAPHICS PIPELINE'],345,"Samsung Electronics Co., Ltd.",,2019-01-01,2016-04-14
10168042,['SYSTEM AND METHOD FOR ILLUMINATING DECORATIVE AND GRAPHIC ELEMENTS ON A CONTAINER'],362,N/A,N/A,2019-01-01,2016-04-14
10171422,['DYNAMICALLY CONFIGURABLE PACKET FILTER'],726,"Owl Computing Technologies, Inc.",CT,2019-01-01,2016-04-14
10166362,['PULMONARY EMBOLISM APPARATUS'],604,Sanford Health,SD,2019-01-01,2016-04-14
10172248,['DEVICE WITH A ROTATABLE DISPLAY'],361,"Microsoft Technology Licensing, LLC",WA,2019-01-01,2016-04-14
10169498,['Particle-Based Simulation through Power Diagrams'],345,California Institute of Technology,CA,2019-01-01,2016-04-14
10167983,['QUICK CONNECT WITH VISUAL INDICATOR'],285,"Ford Global Technologies, LLC",MI,2019-01-01,2016-04-14
10171758,['MULTI-SPECTRUM IMAGING'],348,"DIGITAL DIRECT IR, INC.",NY,2019-01-01,2016-04-14
10167918,['VALVE'],137,KYB CORPORATION,,2019-01-01,2016-04-15
10168733,['FOLDABLE BODY AND FOLDABLE DISPLAY APPARATUS'],361,Industrial Technology Research Institute,,2019-01-01,2016-04-15
10165820,['VALVE ASSEMBLY FOR CONTROLLING FLOW DIRECTION OF FLUID BASED ON ROTATION ANGLE'],137,N/A,N/A,2019-01-01,2016-04-15
10166108,['Bufferable Femoral Implant'],623,"Paonan Biotech Co., Ltd.",,2019-01-01,2016-04-15
10171269,['EQUALIZER CIRCUIT AND INTEGRATED CIRCUIT INCLUDING THE SAME'],375,"Samsung Electronics Co., Ltd.",,2019-01-01,2016-04-15
10166570,['APPLICATOR SYSTEM FOR EXTRUSIVE DISPENSING OF WORK MATERIAL FROM COLLAPSIBLE CARTRIDGE'],222,PATENT & INVESTMENT LLC,MD,2019-01-01,2016-04-15
10165956,['Compartment Syndrome Monitoring Systems And Methods'],600,"TCI3 - Pressure Applications, LLC",AZ,2019-01-01,2016-04-15
10167484,['COMPOSITIONS AND METHODS FOR CONTROL OF INSECT INFESTATIONS IN PLANTS'],800,MONSANTO TECHNOLOGY LLC,MO,2019-01-01,2016-04-15
10167087,['COLLAPSIBLE INFLATABLE ASPIRATOR SYSTEM'],244,Goodrich Corporation,NC,2019-01-01,2016-04-15
10168270,['Sample Holder and Associated Permeation Device'],073,COMMISSARIAT A L'ENERGIE ATOMIQUE ET AUX ENERGIES,,2019-01-01,2016-04-18
10166726,['METHOD AND APPARATUS FOR ADDITIVE MANUFACTURING'],264,FRIPP DESIGN LIMITED,,2019-01-01,2016-04-18
10167473,['SIRNA AND THEIR USE IN METHODS AND COMPOSITIONS FOR INHIBITING THE EXPRESSION OF THE ORAI1 GENE'],536,SYLENTIS SAU,,2019-01-01,2016-04-18
10171757,"['IMAGE CAPTURING DEVICE, IMAGE CAPTURING METHOD, CODED INFRARED CUT FILTER, AND CODED PARTICULAR COLOR CUT FILTER']",348,NEC CORPORATION,,2019-01-01,2016-04-18
10172182,['EFFICIENT OPERATION OF USER EQUIPMENT IN A WIRELESS COMMUNICATION NETWORK'],455,Telefonaktiebolaget LM Ericsson (Publ),,2019-01-01,2016-04-18
10168098,['Method for Drying Moist Material and Drying Plant'],034,HUBER SE,,2019-01-01,2016-04-18
10168550,['SACCADE AND VERGENCE TRACKING FOR DISTANCE AUTO FOCUS ADJUSTMENT'],264,INTERNATIONAL BUSINESS MACHINES CORPORATION,NY,2019-01-01,2016-04-18
10169146,['REPRODUCING DATA FROM OBFUSCATED DATA RETRIEVED FROM A DISPERSED STORAGE NETWORK'],714,International Business Machines Corporation,NY,2019-01-01,2016-04-18
10168094,['REFRIGERATOR'],062,LG ELECTRONICS INC.,,2019-01-01,2016-04-18
10166715,['METHOD AND DEVICE FOR APPLYING PROTECTIVE SHEETING OF POLYMER MATERIAL TO A PIPELINE'],156,SAIPEM S.p.A.,,2019-01-01,2016-04-19
10168755,['PORTABLE ELECTRONIC DEVICE HAVING POWER MAINTENANCE FUNCTION DURING REPLACEMENT OF BATTERY'],714,N/A,N/A,2019-01-01,2016-04-19
10166748,['Multi-Stage Debulk and Compaction of Thick Composite Repair Laminates'],156,Textron Innovations Inc.,RI,2019-01-01,2016-04-19
10170957,['CONTROLLING DEVICE INTEGRATED ROTATING ELECTRIC MACHINE'],310,Mitsubishi Electric Corporation,,2019-01-01,2016-04-19
10168054,['CONTROL DEVICE FOR GAS OVENS'],236,ACTEK S.R.L.,,2019-01-01,2016-04-19
10167961,['Port Gate Supports for a Gate Valve'],251,Emerson Vulcan Holding LLC,MO,2019-01-01,2016-04-19
10170932,['ENERGY STORAGE MODELING AND CONTROL'],700,IHI INC.,NY,2019-01-01,2016-04-19
10167092,['PERCH FOR SCREENING DRONES'],244,"Cisco Technology, Inc.",CA,2019-01-01,2016-04-19
10167863,"['Proportioning Pump, Control Systems and Applicator Apparatus']",222,"PUMPTEC, INC.",MN,2019-01-01,2016-04-19
10168573,['BACKLIGHT ASSEMBLY AND DISPLAY APPARATUS'],362,"BOE TECHNOLOGY GROUP CO., LTD.",,2019-01-01,2016-04-20
10167001,['GAP FILLER HAVING A REDUCED BULK'],014,Alstom Transport Technologies,,2019-01-01,2016-04-20
10169236,['CACHE COHERENCY'],711,ARM LIMITED,,2019-01-01,2016-04-20
10171515,['NOTIFYING RESPONSE SENDER OF MALFORMED SESSION INITIATION PROTOCOL (SIP) RESPONSE MESSAGES'],709,International Business Machines Corporation,NY,2019-01-01,2016-04-20
10166826,['UNIVERSAL HITCH ADAPTER AND SYSTEM'],280,N/A,N/A,2019-01-01,2016-04-20
10165978,"['METHOD FOR MEASURING HUMAN BODY INFORMATION, AND ELECTRONIC DEVICE THEREOF']",348,"Samsung Electronics Co., Ltd.",,2019-01-01,2016-04-20
10167515,['Molecular Analysis using a Magnetic Sifter and Nanowell System'],435,The Board of Trustees of the Leland Stanford Junio,CA,2019-01-01,2016-04-20
10169644,['HUMAN FACIAL DETECTION AND RECOGNITION SYSTEM'],348,"BLUE LINE SECURITY SOLUTIONS, LLC",MO,2019-01-01,2016-04-21
10171747,"['IMAGE CAPTURING APPARATUS, EXTERNAL APPARATUS, IMAGE CAPTURING SYSTEM, METHOD FOR CONTROLLING IMAGE CAPTURING APPARATUS, COMPUTER PROGRAM, AND COMPUTER-READABLE STORAGE MEDIUM']",725,CANON KABUSHIKI KAISHA,,2019-01-01,2016-04-21
10171375,['CONSTRUCTING COMPUTING SYSTEMS WITH FLEXIBLE CAPACITY OF RESOURCES USING DISAGGREGATED SYSTEMS'],709,INTERNATIONAL BUSINESS MACHINES CORPORATION,NY,2019-01-01,2016-04-21
10168855,['AUTOMATIC DETECTION OF USER PREFERENCES FOR ALTERNATE USER INTERFACE MODEL'],715,INTERNATIONAL BUSINESS MACHINES CORPORATION,NY,2019-01-01,2016-04-21
10166777,['METHOD OF FORMING PIEZO DRIVER ELECTRODES'],029,XEROX CORPORATION,CT,2019-01-01,2016-04-21
10166396,['EFFICIENT DELIVERY OF MULTI-SITE PACING'],607,"Medtronic, Inc.",MN,2019-01-01,2016-04-21
10170225,['PERMANENT MAGNET AND ROTATING MACHINE INCLUDING THE SAME'],420,TDK CORPORATION,,2019-01-01,2016-04-21
D836955,['MODULAR PORTABLE STAND'],D06,"HGCI, Inc.",CA,2019-01-01,2016-04-21
10167086,['ANTI-ICING SYSTEM FOR AN AIRCRAFT'],244,SHORT BROTHERS PLC,,2019-01-01,2016-04-22
10168411,['A MEASURING DEVICE AND A METHOD FOR MEASURING A HIGH-FREQUENCY SIGNAL WITH DEEMBEDDING'],324,ROHDE & SCHWARZ GMBH & CO. KG,,2019-01-01,2016-04-22
10168627,['EXPOSURE APPARATUS AND METHOD FOR CLEANING THE SAME'],430,"Samsung Electronics Co., Ltd.",,2019-01-01,2016-04-22
10168047,['WATER HEATING APPARATUS AND SYSTEM HAVING A SCALE DETECTING FUNCTION'],122,NORITZ CORPORATION,,2019-01-01,2016-04-22
10171437,['TECHNIQUES FOR SECURITY ARTIFACTS MANAGEMENT'],726,Oracle International Corporation,CA,2019-01-01,2016-04-22
10169191,['WARNING DATA MANAGEMENT WITH RESPECT TO A DEVELOPMENT PHASE'],717,International Business Machines Corporation,NY,2019-01-01,2016-04-23
10171834,['METHODS AND APPARATUS FOR INTRA PICTURE BLOCK COPY IN VIDEO COMPRESSION'],375,MEDIATEK INC.,,2019-01-01,2016-04-25
10168379,['FIXED IMPEDANCE CABLING FOR HIGH VOLTAGE SURGE PULSE'],324,N/A,N/A,2019-01-01,2016-04-25
10168214,['METHOD OF ASSEMBLY AND MANUFACTURING OF PIEZO ACTUATED FABRY-PEROT INTERFEROMETER'],359,"TruTag Technologies, Inc.",HI,2019-01-01,2016-04-25
10166169,['CHEST COMPRESSION DEVICE'],601,"ZOLL Circulation, Inc.",CA,2019-01-01,2016-04-25
10167304,"['RUTHENIUM COMPOUND, MATERIAL FOR THIN FILM FORMATION, AND PROCESS FOR THIN FILM FORMATION']",544,ADEKA CORPORATION,,2019-01-01,2016-04-26
10168859,['CONTEXTUAL DETERMINATION OF EMOTION ICONS'],715,International Business Machines Corporation,NY,2019-01-01,2016-04-26
10166158,['ANTIMICROBIAL COVERS FOR RAILS'],016,"EOS Surfaces, LLC",VA,2019-01-01,2016-04-26
10169133,"['METHOD, SYSTEM, AND APPARATUS FOR DEBUGGING NETWORKING MALFUNCTIONS WITHIN NETWORK NODES']",714,"Juniper Networks, Inc.",CA,2019-01-01,2016-04-26
10168576,"['DISPLAY SUBSTRATE, METHOD FOR FABRICATING THE SAME AND LIQUID CRYSTAL DISPLAY PANEL']",349,"BOE TECHNOLOGY GROUP CO., LTD.",,2019-01-01,2016-04-26
10168922,['VOLATILE AND NON-VOLATILE MEMORY IN A TSV MODULE'],711,International Business Machines Corporation,NY,2019-01-01,2016-04-26
10168923,['COHERENCY MANAGEMENT FOR VOLATILE AND NON-VOLATILE MEMORY IN A THROUGH-SILICON VIA (TSV) MODULE'],711,International Business Machines Corporation,NY,2019-01-01,2016-04-26
10169414,['CHARACTER MATCHING IN TEXT PROCESSING'],707,International Business Machines Corporation,NY,2019-01-01,2016-04-26
10169917,['Augmented Reality'],345,"Microsoft Technology Licensing, LLC",WA,2019-01-01,2016-04-26
10169612,['METHOD FOR EXECUTING A SAFETY-CRITICAL FUNCTION OF A COMPUTING UNIT IN A CYBER-PHYSICAL SYSTEM'],726,Robert Bosch GmbH,,2019-01-01,2016-04-26
10170029,['DISPLAY DEVICE HAVING GATE DRIVING CIRCUIT AND DRIVING METHOD THEREOF'],345,"SAMSUNG DISPLAY CO., LTD.",,2019-01-01,2016-04-26
10167135,"['SINGLE-PORTION PACKAGE, SYSTEM AND PROCESS FOR PREPARING LIQUID PRODUCTS BASED UPON SAID SINGLE-PORTION PACKAGES']",426,MITACA SRL,,2019-01-01,2016-04-27
10168000,['NITROGEN PUMPING FROM A TANK TRUCK'],062,Air Liquide Large Industries U.S. LP,TX,2019-01-01,2016-04-27
10166398,['METHODS AND APPARATUS FOR MANAGING MULTIPLE CATHODE PACING'],607,"Cardiac Pacemakers, Inc.",MN,2019-01-01,2016-04-27
10168594,['LIQUID CRYSTAL DISPLAY'],349,"SAMSUNG DISPLAY CO., LTD.",,2019-01-01,2016-04-27
10169082,['ACCESSING DATA IN ACCORDANCE WITH AN EXECUTION DEADLINE'],718,International Business Machines Corporation,NY,2019-01-01,2016-04-27
10172004,['SYSTEM AND METHOD FOR RULES-BASED SELECTION OF NETWORK TRANSMISSION INTERCEPTION MEANS'],726,AO Kaspersky Lab,,2019-01-01,2016-04-27
10171756,['Image-Based Localization of Ultraviolet Corona'],348,"U.S.A., as represented by the Administrator of the",DC,2019-01-01,2016-04-27
10169588,['CONTROLLED STARTING OF AN ELECTRONIC CIRCUIT'],726,Proton World International N.V.,,2019-01-01,2016-04-27
10172167,['ELECTRONIC DEVICE AND CONNECTION METHOD THEREOF'],455,"SAMSUNG ELECTRONICS CO., LTD.",,2019-01-01,2016-04-27
10169288,['NODE INTERCONNECT ARCHITECTURE TO IMPLEMENT HIGH-PERFORMANCE SUPERCOMPUTER'],385,International Business Machines Corporation,NY,2019-01-01,2016-04-27
10167698,['CONFIGURABLE BRIDGE PLUG APPARATUS AND METHOD'],166,"GEODynamics, Inc.",TX,2019-01-01,2016-04-27
10171825,['PARALLEL COMPRESSION OF IMAGE DATA IN A COMPRESSION DEVICE'],375,Matrox Graphics Inc.,,2019-01-01,2016-04-27
10165809,['UPPER BODY GARMENT TO ACCOMMODATE MEDICAL EQUIPMENT DURING PROLONGED OR FREQUENT TREATMENTS'],002,N/A,N/A,2019-01-01,2016-04-27
10167298,['PSEUDOPOLYMORPHS OF AN HCV NS5A INHIBITOR AND USES THEREOF'],514,MERCK SHARP & DOHME CORP.,NJ,2019-01-01,2016-04-28
10171568,"['SELECTING SYSTEM, COMMUNICATION MANAGEMENT SYSTEM, COMMUNICATION SYSTEM, COMPUTER PROGRAM, AND METHOD OF SELECTION']",709,oki  UMEHARA,,2019-01-01,2016-04-28
10168403,['MAGNETIC RESONANCE IMAGING APPARATUS'],324,"HITACHI, LTD.",,2019-01-01,2016-04-28
10166608,['WOOD-DRILL ADAPTER SYSTEMS'],408,N/A,N/A,2019-01-01,2016-04-28
10168145,"['THREE- DIMENSIONAL SHAPE MEASUREMENT APPARATUS, CONTROL METHOD THEREFOR, AND STORAGE MEDIUM']",348,CANON KABUSHIKI KAISHA,,2019-01-01,2016-04-28
10169471,['GENERATING AND EXECUTING QUERY LANGUAGE STATEMENTS FROM NATURAL LANGUAGE'],707,International Business Machines Corporation,NY,2019-01-01,2016-04-28
10170208,['ELECTROMAGNETIC COIL BOBBIN USED IN REACTOR AS WELL AS INNER BOBBIN AND OUTER SHELL'],335,N/A,N/A,2019-01-01,2016-04-28
10166855,"['VEHICLE, SYSTEM, AND METHOD OF CALCULATING AN ENGINE TORQUE REQUEST VALUE']",701,GM GLOBAL TECHNOLOGY OPERATIONS LLC,MI,2019-01-01,2016-04-28
D837396,['NASAL STIMULATOR PROBE'],D24,"Oculeve, Inc.",CA,2019-01-01,2016-04-28
10168171,['APPARATUS AND METHODS OF DETERMINING PATHS THROUGH AN ELECTRONIC MAP'],701,TOMTOM NAVIGATION  B.V.,,2019-01-01,2016-04-29
10168271,['MICROPARTICLES HAVING REFERENCE MARKERS ARRANGED IN DIFFERENT CONCENTRATIONS'],435,The General Hospital Corporation,MA,2019-01-01,2016-04-29
10172179,['METHOD AND APPARATUS FOR RECONFIGURING A BEARER'],370,"SAMSUNG ELECTRONICS CO., LTD.",,2019-01-01,2016-04-29
10168289,['METHOD FOR EVALUATING CROSSLINK CONCENTRATION IN CROSSLINKED RUBBER'],250,"SUMITOMO RUBBER INDUSTRIES, LTD.",,2019-01-01,2016-04-29
10171916,['System and Method for a High-Ohmic Resistor'],381,Infineon Technologies AG,,2019-01-01,2016-04-29
D836959,['TABLE'],D06,N/A,N/A,2019-01-01,2016-04-29
10165856,['HOUSEHOLD APPLIANCE'],134,BSH HAUSGERÄTE GMBH,,2019-01-01,2016-05-02
10167692,['WELL CASING SECURITY DEVICE'],166,N/A,N/A,2019-01-01,2016-05-02
10170313,['SYSTEMS AND METHODS FOR A TUNABLE ELECTROMAGNETIC FIELD APPARATUS TO IMPROVE DOPING UNIFORMITY'],438,"Taiwan Semiconductor Manufacturing Company, LTD.",,2019-01-01,2016-05-02
10168765,['CONTROLLING PROCESSOR CONSUMPTION USING ON-OFF KEYING HAVING A MAXIMUM OFF TIME'],713,Intel Corporation,CA,2019-01-01,2016-05-03
10167370,"['FILM, METHOD FOR PRODUCING SAME, TRANSPARENT CONDUCTIVE FILM, AND TOUCH PANEL']",428,FUJIFILM Corporation,,2019-01-01,2016-05-03
10169322,['PERSONAL DICTIONARY'],704,N/A,N/A,2019-01-01,2016-05-03
10172060,['RESELECTION FAILURE DETECTION AND PREVENTION IN MULTI-SIM WIRELESS COMMUNICATION DEVICES'],455,QUALCOMM Incorporated,CA,2019-01-01,2016-05-03
D836935,['PEDIATRIC HOSPITAL BED'],D06,Praestet (Pty) Ltd.,,2019-01-01,2016-05-03
D837409,['Window Framing Kit'],D25,N/A,N/A,2019-01-01,2016-05-03
10169800,['STRUCTURED ITEM ORGANIZING MECHANISM IN E-COMMERCE'],705,eBay Inc.,CA,2019-01-01,2016-05-04
10171327,['HANDLING OF NETWORK CHARACTERISTICS'],370,TELEFONAKTIEBOLAGET L M ERICSSON (PUBL),,2019-01-01,2016-05-04
10167523,['GENE IMPACTING BIOMASS FORMATION AND RECALCITRANCE AND METHODS OF USE'],800,"UT-Battelle, LLC",TN,2019-01-01,2016-05-04
10171414,['METHOD FOR ALLOCATING INTERNET PROTOCOL ADDRESSES TO CLIENTS OF A NETWORK AND CORRESPONDING APPARATUS'],709,THOMSON LICENSING,,2019-01-01,2016-05-04
10166315,['CHITOSAN-ENHANCED ELECTROSPUN FIBER COMPOSITIONS'],424,"NANOFIBER SOLUTIONS, INC.",OH,2019-01-01,2016-05-04
10168701,['MULTI-PURPOSED SELF-PROPELLED DEVICE'],701,"Sphero, Inc.",CO,2019-01-01,2016-05-04
10170940,['WIRELESS POWER TRANSFER SYSTEM'],307,Imperial Innovations Limited,,2019-01-01,2016-05-04
D837069,['STACKABLE TRAY FOR CONTAINERS'],D09,Closure Systems International Inc.,IN,2019-01-01,2016-05-04
10165925,['METHOD OF SEPARATING CHEMISTRIES IN A DOOR-TYPE DISHMACHINE'],134,Ecolab USA Inc.,MN,2019-01-01,2016-05-05
10170599,['SEMICONDUCTOR DEVICE INCLUDING INSULATING FILMS WITH DIFFERENT THICKNESSES AND METHOD FOR MANUFACTURING THE SEMICONDUCTOR DEVICE'],257,"Semiconductor Energy Laboratory Co., Ltd.",,2019-01-01,2016-05-05
10167654,['DOORKNOB INDICATING SYSTEM'],340,N/A,N/A,2019-01-01,2016-05-05
10169027,['UPGRADE OF AN OPERATING SYSTEM OF A VIRTUAL MACHINE'],717,International Business Machines Corporation,NY,2019-01-01,2016-05-05
10170704,['ORGANIC ELECTROLUMINESCENT DEVICE AND DISPLAY INCLUDING THE SAME'],428,"SAMSUNG DISPLAY CO., LTD.",,2019-01-01,2016-05-05
10166216,['SUBSTITUTED TRIAZOLES USEFUL AS AXL INHIBITORS'],514,"Rigel Pharmaceuticals, Inc.",CA,2019-01-01,2016-05-05
10166809,"['Optically Variable Devices, Their Production and Use']",283,BANK OF CANADA,ON,2019-01-01,2016-05-06
10166452,['Bat Swing Training Device'],473,N/A,N/A,2019-01-01,2016-05-06
10171266,['SWITCH-EXTENDER AND A METHOD FOR CALIBRATING'],370,Rohde & Schwarz GmbH & Co. KG,,2019-01-01,2016-05-06
10167680,['MULTI-LEAD QUICK CONNECT THREADED CONNECTION'],285,"Hunting Energy Services, Inc.",TX,2019-01-01,2016-05-06
10169513,['METHOD AND SYSTEM FOR DESIGNING FPGA BASED ON HARDWARE REQUIREMENTS DEFINED IN SOURCE CODE'],716,Baidu USA LLC,CA,2019-01-01,2016-05-06
10165968,['BLOOD GLUCOSE MEASUREMENT APPARATUS AND BLOOD GLUCOSE MEASUREMENT METHOD THEREOF'],600,"Samsung Electronics Co., Ltd.",,2019-01-01,2016-05-06
10169620,['METHOD OF INTERACTING WITH AN ELECTRONIC DEVICE WHILE THE DISPLAY SCREEN IS DEACTIVATED'],726,BlackBerry Limited,,2019-01-01,2016-05-06
10170813,['ION CONDUCTING HYBRID MEMBRANES'],429,International Business Machines Corporation,NY,2019-01-01,2016-05-06
10169907,['MULTI MODE TEXTURE SAMPLER FOR FLEXIBLE FILTERING OF GRAPHICAL TEXTURE DATA'],345,INTEL CORPORATION,CA,2019-01-01,2016-05-06
10165964,['SYSTEMS AND METHODS FOR QUANTIFYING REGIONAL FISSURE FEATURES'],382,"Vida Diagnostics, Inc.",IA,2019-01-01,2016-05-06
10167708,['AUTOMATIC Y-TOOL'],166,"GE Energy Oilfield Technology, Inc.",LA,2019-01-01,2016-05-06
10169862,['METHODS AND SYSTEMS FOR LASER SPECKLE IMAGING OF TISSUE USING A COLOR IMAGE SENSOR'],382,Novadaq Technologies ULC,,2019-01-01,2016-05-06
10165877,['STACKABLE CONTAINER SYSTEM'],215,"RUNWAY BLUE, LLC",UT,2019-01-01,2016-05-07
10165860,['COSMETIC DOOR PANEL SUSPENSION AND ADJUSTMENT SYSTEM FOR A BUILT-IN APPLIANCE'],049,WHIRLPOOL CORPORATION,MI,2019-01-01,2016-05-09
10170810,['THERMALLY CONDUCTIVE BASE MEMBER AND METHOD OF ASSEMBLING THE THERMALLY CONDUCTIVE BASE MEMBER'],429,"LG Chem, Ltd.",,2019-01-01,2016-05-09
10167946,['ELECTRONIC TRANSMISSION RANGE SELECTION SYSTEM INCLUDING A BEZEL WITH LOCATING FEATURES'],074,GM GLOBAL TECHNOLOGY OPERATIONS LLC,MI,2019-01-01,2016-05-09
10167015,['SYSTEM FOR RETROFITTING VEHICLE AUTOMATION'],701,GM GLOBAL TECHNOLOGY OPERATIONS LLC,MI,2019-01-01,2016-05-10
10166651,"['VIBRATORY FINISHING APPARATUS, FIXTURES AND METHOD']",451,ROLLS-ROYCE plc,,2019-01-01,2016-05-10
10168436,['Water Soluble Low Alpha Particle Emission Electrically-Conductive Coating'],252,International Business Machines Corporation,NY,2019-01-01,2016-05-10
10166419,['METHOD AND SYSTEM FOR DILUTING MULTIPLE CHEMICAL CONCENTRATES AND DISPERSING RESULTANT SOLUTIONS UTILIZING A SINGLE PORTABLE SOURCE'],366,ICL Performance Products LP,MO,2019-01-01,2016-05-10
10168146,['MEASURING SHAPE OF SPECULAR OBJECTS BY LOCAL PROJECTION OF CODED PATTERNS'],348,CANON KABUSHIKI KAISHA,,2019-01-01,2016-05-10
D836960,['Table'],D06,"Knoll, Inc.",PA,2019-01-01,2016-05-10
10166574,['SYSTEM AND METHOD FOR FABRICATING SCREEN PANEL ASSEMBLIES FOR VIBRATORY SEPARATORS'],156,"National Oilwell Varco, L.P.",TX,2019-01-01,2016-05-11
10172102,['METHOD FOR POWER HEADROOM REPORTING AND DEVICE THEREFOR'],370,LG Electronics Inc.,,2019-01-01,2016-05-11
10168577,['DISPLAY PANEL AND DISPLAY DEVICE'],349,"BOE TECHNOLOGY GROUP CO., LTD.",,2019-01-01,2016-05-11
10168001,['METHOD AND ARRANGEMENT FOR WASTE COLD RECOVERY IN A GAS-FUELLED SEA-GOING VESSEL'],062,WÄRTSILÄ FINLAND OY,,2019-01-01,2016-05-11
10168797,"['TERMINAL APPARATUS, AUDIO SYSTEM, AND METHOD FOR CONTROLLING SOUND VOLUME OF EXTERNAL SPEAKER THEREOF']",715,"SAMSUNG ELECTRONICS CO., LTD.",,2019-01-01,2016-05-11
10169735,['Customized Packaging for Unmanned Autonomous Vehicle Item Delivery'],705,QUALCOMM Incorporated,CA,2019-01-01,2016-05-11
10171319,['TECHNOLOGIES FOR ANNOTATING PROCESS AND USER INFORMATION FOR NETWORK FLOWS'],718,"Cisco Technology, Inc.",CA,2019-01-01,2016-05-11
